t,x,y
7.86,22.167404,4.786952
7.875,22.140127,4.777769
7.89,6.814364,7.954392
7.905,21.127679,9.520439
7.92,22.121008,4.908556
7.935,11.962428,4.499073
7.95,15.486754,11.265875
7.965,0.973095,15.472863
7.98,12.302952,11.711742
7.995,11.625047,9.738997
8.01,11.498463,12.064378
8.025,21.810539,6.020562
8.04,16.584836,2.733587
8.055,12.669087,5.294128
8.07,16.399279,23.093551
8.085,11.678528,13.588453
8.1,20.074905,8.956359
8.115,7.743729,7.513017
8.13,2.949821,6.165141
8.145,11.399323,17.406519
8.16,20.2502,6.087363
8.175,3.487791,10.785441
8.19,2.897921,6.11884
8.205,20.074723,8.948403
8.22,14.977729,7.679369
8.235,13.071718,11.802203
8.25,21.735698,12.665409
8.265,15.537359,11.2701
8.28,12.743475,5.390988
8.295,19.549865,13.958606
8.31,3.981014,14.934663
8.325,15.881191,5.454851
8.34,24.851643,17.374631
8.355,10.24983,2.227119
8.37,21.685524,12.576532
8.385,22.253205,20.294758
8.4,3.652807,12.931169
8.415,10.04851,6.135524
8.43,22.057578,4.793421
8.445,21.736721,10.254095
8.46,13.845184,16.103575
8.475,12.538455,15.376271
8.49,10.070175,2.714115
8.505,3.60388,13.551175
8.52,21.905886,5.314821
8.535,15.410402,4.599026
8.55,21.452752,16.882737
8.565,12.905364,15.407402
8.58,9.482889,10.379678
8.595,25.611818,12.510938
8.61,3.892157,12.729441
8.625,11.553883,13.723273
8.64,12.747404,15.444711
8.655,4.208097,12.029805
8.67,25.910296,15.078526
8.685,19.248791,24.326851
8.7,11.735947,13.52096
8.715,10.012335,6.153312
8.73,10.072779,6.436513
8.745,2.98872,6.037655
8.76,15.183487,16.728361
8.775,10.421877,19.676466
8.79,16.890954,23.181034
8.805,21.816948,5.750976
8.82,15.960223,5.579723
8.835,3.597433,13.538695
8.85,5.397123,21.983801
8.865,22.23929,5.825684
8.88,2.959104,6.117943
8.895,2.975133,6.13946
8.91,21.697377,12.752825
8.925,9.754412,5.591438
8.94,11.583643,9.936299
8.955,5.233945,17.029872
8.97,21.216325,10.366576
8.985,5.46013,22.03449
9.0,16.296422,23.368279
9.015,8.525784,12.855865
9.03,10.537907,5.30116
9.045,16.488356,2.694963
9.06,16.854302,23.137068
9.075,3.093645,6.103931
9.09,5.182558,16.998025
9.105,11.721913,13.658409
9.12,5.176255,16.963779
9.135,3.151133,6.147128
9.15,1.123101,15.43585
9.165,3.105983,6.169899
9.18,3.145592,6.211775
9.195,15.613025,11.251615
9.21,16.953045,23.13841
9.225,12.916856,11.58202
9.24,12.657491,11.44286
9.255,11.795452,4.742424
9.27,1.059193,15.35076
9.285,17.007165,23.110376
9.3,3.18716,6.152867
9.315,9.962364,2.867076
9.33,15.50375,4.493003
9.345,3.767407,11.770017
9.36,4.391706,11.995677
9.375,25.510021,13.171066
9.39,21.79197,6.201024
9.405,15.517455,11.323348
9.42,17.012471,22.982563
9.435,11.401824,17.535222
9.45,16.43647,2.701292
9.465,25.244969,25.191871
9.48,3.530674,13.469363
9.495,20.269903,5.21793
9.51,3.587679,13.490673
9.525,21.231806,9.272048
9.54,3.490835,10.462498
9.555,15.520332,11.331931
9.57,3.55407,10.474505
9.585,11.629362,13.525868
9.6,15.534887,11.225361
9.615,16.414027,2.833554
9.63,12.365845,10.579115
9.645,3.500613,15.340137
9.66,11.567517,13.551183
9.675,21.044586,9.414671
9.69,16.431096,2.782346
9.705,17.21776,22.951919
9.72,12.733338,16.542732
9.735,16.927678,23.049597
9.75,1.031822,15.345454
9.765,11.968895,14.066356
9.78,10.09275,6.29597
9.795,14.995593,16.781609
9.81,13.39173,15.346814
9.825,3.716057,13.5435
9.84,21.260601,13.054303
9.855,16.946196,11.878329
9.87,12.830651,16.522787
9.885,15.455873,11.23471
9.9,5.40208,12.903265
9.915,10.108374,6.13098
9.93,21.104544,10.377239
9.945,25.457138,25.580012
9.96,10.536813,19.882648
9.975,10.353434,10.265848
9.99,8.145421,7.688871
10.005,21.814604,6.190446
10.02,10.489854,19.738823
10.035,17.801743,23.755945
10.05,9.332771,12.78488
10.065,11.917987,14.09785
10.08,16.481636,2.693002
10.095,4.372489,12.007047
10.11,16.92831,23.031242
10.125,8.575134,8.93635
10.14,2.958602,5.996543
10.155,17.122157,23.285804
10.17,16.907942,23.090842
10.185,10.015345,6.138161
10.2,4.897014,9.688027
10.215,1.067976,15.414428
10.23,9.959864,6.167107
10.245,3.788789,13.523639
10.26,21.599939,12.727098
10.275,3.123585,14.79996
10.29,21.016558,9.409972
10.305,15.534742,7.025022
10.32,16.478103,2.667974
10.335,22.684185,19.959041
10.35,17.835596,24.026543
10.365,16.950062,23.026494
10.38,4.130632,10.548602
10.395,2.857543,6.085273
10.41,17.645353,24.330017
10.425,2.83941,6.044287
10.44,21.131784,9.471743
10.455,4.654783,9.694321
10.47,17.644767,23.804361
10.485,12.537104,15.434773
10.5,3.919774,11.992693
10.515,24.98082,15.852658
10.53,15.54204,11.401455
10.545,9.999375,6.237015
10.56,9.98824,6.473529
10.575,2.934619,6.000453
10.59,25.598484,12.576407
10.605,10.535001,19.865054
10.62,12.447967,15.355618
10.635,10.716396,5.271588
10.65,11.669835,13.540373
10.665,17.096806,23.076412
10.68,9.426193,12.886334
10.695,4.676268,14.338568
10.71,11.702679,13.49648
10.725,24.457522,20.518763
10.74,16.875048,12.194425
10.755,15.442883,11.380695
10.77,17.132908,23.033344
10.785,15.463653,11.371153
10.8,10.017972,6.423501
10.815,12.823625,16.672474
10.83,16.515023,2.679604
10.845,4.648878,14.317425
10.86,10.074161,6.293094
10.875,10.590794,5.334533
10.89,15.475582,11.32115
10.905,20.964042,9.550688
10.92,3.732505,13.541282
10.935,8.448779,5.273164
10.95,6.739414,8.053652
10.965,16.229124,5.198154
10.98,3.029688,6.228957
10.995,4.058422,12.964987
11.01,21.372112,13.12303
11.025,3.954174,13.027878
11.04,11.658617,13.561674
11.055,15.493923,11.40661
11.07,16.989828,12.103343
11.085,17.036344,11.934538
11.1,12.875278,16.598659
11.115,3.746573,13.530771
11.13,21.870424,6.055523
11.145,3.80412,11.450253
11.16,21.921486,6.079621
11.175,12.414152,15.459473
11.19,3.809468,13.551298
11.205,25.644388,12.584042
11.22,21.398081,17.811727
11.235,25.675124,12.574036
11.25,11.709371,13.560317
11.265,12.80993,16.62891
11.28,22.363341,20.249428
11.295,7.569821,12.286304
11.31,7.506281,12.220198
11.325,4.32316,14.423298
11.34,3.077941,5.968247
11.355,15.6805,6.572457
11.37,10.88261,15.372455
11.385,15.531106,11.302286
11.4,25.587989,12.645528
11.415,21.393544,13.103695
11.43,4.064072,15.882052
11.445,10.554245,19.80787
11.46,3.006519,5.994701
11.475,11.061586,15.382262
11.49,4.854152,12.743944
11.505,11.965902,4.970968
11.52,17.012055,23.077041
11.535,25.657638,12.599921
11.55,10.555876,15.361084
11.565,25.602802,12.606998
11.58,17.00859,12.035402
11.595,24.849865,16.230354
11.61,9.663473,1.901199
11.625,24.6629,20.604695
11.64,8.893896,1.651834
11.655,16.533141,2.750405
11.67,10.470483,19.825292
11.685,3.659643,16.258147
11.7,16.551543,2.670363
11.715,3.966062,12.937088
11.73,12.062652,11.246186
11.745,12.37786,15.351122
11.76,7.587882,8.676431
11.775,25.315416,16.509352
11.79,16.991558,23.284229
11.805,4.617805,9.009574
11.82,15.483988,11.258021
11.835,12.852867,16.554788
11.85,3.058199,6.139801
11.865,4.060131,12.95023
11.88,12.238321,11.316085
11.895,21.364814,13.061887
11.91,15.452951,11.301271
11.925,25.704937,12.568304
11.94,14.773702,11.657315
11.955,8.61394,5.420657
11.97,17.799771,24.303495
11.985,25.770906,19.887275
12.0,25.647621,12.603277
12.015,9.3119,12.832094
12.03,11.842291,5.127038
12.045,2.976618,5.857945
12.06,19.489313,25.103066
12.075,13.321672,4.139606
12.09,14.914465,4.187335
12.105,22.419112,20.378515
12.12,3.036797,5.82181
12.135,15.150809,16.721961
12.15,10.618094,5.248812
12.165,12.826323,16.568107
12.18,14.84595,4.150261
12.195,21.391754,9.496705
12.21,11.846017,5.113307
12.225,17.899422,23.90824
12.24,4.75122,9.564023
12.255,13.512182,13.822657
12.27,2.991767,5.903728
12.285,26.045168,13.059875
12.3,18.035627,23.594826
12.315,14.038494,14.182008
12.33,1.188222,15.395142
12.345,21.391492,17.775006
12.36,9.957687,6.775113
12.375,21.756607,12.606694
12.39,12.810237,16.576589
12.405,21.364327,17.876431
12.42,3.805808,11.858032
12.435,12.80592,16.5285
12.45,18.001654,24.024556
12.465,21.91731,12.871881
12.48,25.87389,12.69658
12.495,10.512954,19.868875
